Trial,P1,P2,S1,S2,Q1,Q2
1,2,1,2,1,1.5,3.0
2,2,1,2,1,2.5,1.0
3,2,1,2,1,1.0,1.5
4,2,1,2,1,3.0,2.0
5,2,1,3,1,1.5,3.0
6,2,1,3,1,2.5,1.0
7,2,1,3,1,1.0,1.5
8,2,1,3,1,3.0,2.0
9,2,1,3,2,1.5,3.0
10,2,1,3,2,2.5,1.0
11,2,1,3,2,1.0,1.5
12,2,1,3,2,3.0,2.0
13,2,1,1,2,1.5,3.0
14,2,1,1,2,2.5,1.0
15,2,1,1,2,1.0,1.5
16,2,1,1,2,3.0,2.0
17,2,1,1,3,1.5,3.0
18,2,1,1,3,2.5,1.0
19,2,1,1,3,1.0,1.5
20,2,1,1,3,3.0,2.0
21,2,1,2,3,1.5,3.0
22,2,1,2,3,2.5,1.0
23,2,1,2,3,1.0,1.5
24,2,1,2,3,3.0,2.0
25,3,2,2,1,1.5,3.0
26,3,2,2,1,2.5,1.0
27,3,2,2,1,1.0,1.5
28,3,2,2,1,3.0,2.0
29,3,2,3,1,1.5,3.0
30,3,2,3,1,2.5,1.0
31,3,2,3,1,1.0,1.5
32,3,2,3,1,3.0,2.0
33,3,2,3,2,1.5,3.0
34,3,2,3,2,2.5,1.0
35,3,2,3,2,1.0,1.5
36,3,2,3,2,3.0,2.0
37,3,2,1,2,1.5,3.0
38,3,2,1,2,2.5,1.0
39,3,2,1,2,1.0,1.5
40,3,2,1,2,3.0,2.0
41,3,2,1,3,1.5,3.0
42,3,2,1,3,2.5,1.0
43,3,2,1,3,1.0,1.5
44,3,2,1,3,3.0,2.0
45,3,2,2,3,1.5,3.0
46,3,2,2,3,2.5,1.0
47,3,2,2,3,1.0,1.5
48,3,2,2,3,3.0,2.0
49,3,1,2,1,1.5,3.0
50,3,1,2,1,2.5,1.0
51,3,1,2,1,1.0,1.5
52,3,1,2,1,3.0,2.0
53,3,1,3,1,1.5,3.0
54,3,1,3,1,2.5,1.0
55,3,1,3,1,1.0,1.5
56,3,1,3,1,3.0,2.0
57,3,1,3,2,1.5,3.0
58,3,1,3,2,2.5,1.0
59,3,1,3,2,1.0,1.5
60,3,1,3,2,3.0,2.0
61,3,1,1,2,1.5,3.0
62,3,1,1,2,2.5,1.0
63,3,1,1,2,1.0,1.5
64,3,1,1,2,3.0,2.0
65,3,1,1,3,1.5,3.0
66,3,1,1,3,2.5,1.0
67,3,1,1,3,1.0,1.5
68,3,1,1,3,3.0,2.0
69,3,1,2,3,1.5,3.0
70,3,1,2,3,2.5,1.0
71,3,1,2,3,1.0,1.5
72,3,1,2,3,3.0,2.0
