Trial,P1,P2,S1,S2,Q1,Q2
1,2.5,1.0,2,1,2,1
2,3.0,2.0,2,1,2,1
3,2.5,1.0,2,1,3,1
4,3.0,2.0,2,1,3,1
5,2.5,1.0,2,1,3,2
6,3.0,2.0,2,1,3,2
7,1.5,3.0,2,1,1,2
8,2.5,1.0,2,1,1,2
9,1.0,1.5,2,1,1,2
10,3.0,2.0,2,1,1,2
11,1.5,3.0,2,1,1,3
12,2.5,1.0,2,1,1,3
13,1.0,1.5,2,1,1,3
14,3.0,2.0,2,1,1,3
15,1.5,3.0,2,1,2,3
16,2.5,1.0,2,1,2,3
17,1.0,1.5,2,1,2,3
18,3.0,2.0,2,1,2,3
19,2.5,1.0,3,2,2,1
20,3.0,2.0,3,2,2,1
21,2.5,1.0,3,2,3,1
22,3.0,2.0,3,2,3,1
23,2.5,1.0,3,2,3,2
24,3.0,2.0,3,2,3,2
25,1.5,3.0,3,2,1,2
26,2.5,1.0,3,2,1,2
27,1.0,1.5,3,2,1,2
28,3.0,2.0,3,2,1,2
29,1.5,3.0,3,2,1,3
30,2.5,1.0,3,2,1,3
31,1.0,1.5,3,2,1,3
32,3.0,2.0,3,2,1,3
33,1.5,3.0,3,2,2,3
34,2.5,1.0,3,2,2,3
35,1.0,1.5,3,2,2,3
36,3.0,2.0,3,2,2,3
37,2.5,1.0,3,1,2,1
38,3.0,2.0,3,1,2,1
39,2.5,1.0,3,1,3,1
40,3.0,2.0,3,1,3,1
41,2.5,1.0,3,1,3,2
42,3.0,2.0,3,1,3,2
43,1.5,3.0,3,1,1,2
44,2.5,1.0,3,1,1,2
45,1.0,1.5,3,1,1,2
46,3.0,2.0,3,1,1,2
47,1.5,3.0,3,1,1,3
48,2.5,1.0,3,1,1,3
49,1.0,1.5,3,1,1,3
50,3.0,2.0,3,1,1,3
51,1.5,3.0,3,1,2,3
52,2.5,1.0,3,1,2,3
53,1.0,1.5,3,1,2,3
54,3.0,2.0,3,1,2,3
